user_id,session_timestamp,trial_number,left_image,right_image,user_choice,correct_answer,is_correct,response_time_ms,timestamp
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,1,6_swm040.jpg,18_rwm050.jpg,left,right,FALSE,629,2025-11-12T22:03:39.077Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,2,21_swf013.jpg,16_rwm007.jpg,left,right,FALSE,194,2025-11-12T22:03:39.417Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,3,24_swf029.jpg,27_rwf044.jpg,left,right,FALSE,207,2025-11-12T22:03:39.756Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,4,30_swm041.jpg,19_rwf033.jpg,left,right,FALSE,170,2025-11-12T22:03:40.083Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,5,4_rwm022.jpg,2_swf008.jpg,left,left,TRUE,205,2025-11-12T22:03:40.468Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,6,23_rwf050.jpg,7_swm001.jpg,left,left,TRUE,77,2025-11-12T22:03:40.728Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,7,29_rwf018.jpg,17_swm032.jpg,left,left,TRUE,279,2025-11-12T22:03:41.231Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,8,8_rwf017.jpg,26_swm045.jpg,left,left,TRUE,225,2025-11-12T22:03:41.607Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,9,12_rwf012.jpg,14_swm050.jpg,left,left,TRUE,194,2025-11-12T22:03:41.873Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,10,20_swm011.jpg,3_rwm008.jpg,left,right,FALSE,180,2025-11-12T22:03:42.158Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,11,15_swm033.jpg,10_rwf021.jpg,left,right,FALSE,168,2025-11-12T22:03:42.410Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,12,13_rwf002.jpg,25_swf030.jpg,left,left,TRUE,179,2025-11-12T22:03:42.670Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,13,9_rwf003.jpg,22_swm026.jpg,left,left,TRUE,199,2025-11-12T22:03:42.947Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,14,1_rwf026.jpg,28_swf050.jpg,left,left,TRUE,156,2025-11-12T22:03:43.385Z
8a7aab3d-538a-4499-a396-97e8777c3ae1,2025-11-12T22:03:38.357663,15,11_swf026.jpg,5_rwf014.jpg,left,right,FALSE,161,2025-11-12T22:03:43.752Z
001,2025-11-12T23:39:48.981134,1,2_swf008.jpg,8_rwf017.jpg,right,right,TRUE,6089,2025-11-12T23:39:55.128Z
001,2025-11-12T23:39:48.981134,2,22_swm026.jpg,4_rwm022.jpg,right,right,TRUE,282,2025-11-12T23:39:55.552Z
001,2025-11-12T23:39:48.981134,3,3_rwm008.jpg,17_swm032.jpg,right,left,FALSE,233,2025-11-12T23:39:55.837Z
001,2025-11-12T23:39:48.981134,4,9_rwf003.jpg,21_swf013.jpg,right,left,FALSE,231,2025-11-12T23:39:56.131Z
001,2025-11-12T23:39:48.981134,5,27_rwf044.jpg,24_swf029.jpg,right,left,FALSE,285,2025-11-12T23:39:56.482Z
001,2025-11-12T23:39:48.981134,6,7_swm001.jpg,13_rwf002.jpg,right,right,TRUE,317,2025-11-12T23:39:56.868Z
001,2025-11-12T23:39:48.981134,7,19_rwf033.jpg,26_swm045.jpg,right,left,FALSE,248,2025-11-12T23:39:57.166Z
001,2025-11-12T23:39:48.981134,8,15_swm033.jpg,29_rwf018.jpg,right,right,TRUE,216,2025-11-12T23:39:57.450Z
001,2025-11-12T23:39:48.981134,9,12_rwf012.jpg,14_swm050.jpg,right,left,FALSE,152,2025-11-12T23:39:57.686Z
001,2025-11-12T23:39:48.981134,10,1_rwf026.jpg,6_swm040.jpg,right,left,FALSE,184,2025-11-12T23:39:58.035Z
001,2025-11-12T23:39:48.981134,11,28_swf050.jpg,23_rwf050.jpg,right,right,TRUE,189,2025-11-12T23:39:58.342Z
001,2025-11-12T23:39:48.981134,12,25_swf030.jpg,5_rwf014.jpg,right,right,TRUE,132,2025-11-12T23:39:58.620Z
001,2025-11-12T23:39:48.981134,13,30_swm041.jpg,18_rwm050.jpg,right,right,TRUE,150,2025-11-12T23:39:58.936Z
001,2025-11-12T23:39:48.981134,14,11_swf026.jpg,16_rwm007.jpg,right,right,TRUE,166,2025-11-12T23:39:59.271Z
001,2025-11-12T23:39:48.981134,15,20_swm011.jpg,10_rwf021.jpg,right,right,TRUE,170,2025-11-12T23:39:59.593Z
